Місто,Дата,Час,Вік,К-ть
Угринів,2021-02-15,2021-02-15 18:00:00,30-39,1190
Угринів,2021-02-06,2021-02-06 10:00:00,30-39,1189
Загвіздя,2021-02-08,2021-02-08 10:00:00,30-39,1185
Загвіздя,2021-02-11,2021-02-11 11:00:00,30-39,1185
Загвіздя,2021-02-08,2021-02-08 16:00:00,30-39,1183
Загвіздя,2021-02-08,2021-02-08 11:00:00,30-39,1182
Угринів,2021-02-02,2021-02-02 17:00:00,20-29,1180
Загвіздя,2021-02-16,2021-02-16 10:00:00,30-39,1180
Крихівці,2021-02-16,2021-02-16 18:00:00,30-39,1179
Загвіздя,2021-02-03,2021-02-03 10:00:00,30-39,1177
Угринів,2021-02-02,2021-02-02 16:00:00,20-29,1177
Угринів,2021-02-09,2021-02-09 17:00:00,20-29,1175
Підпечери,2021-02-01,2021-02-01 12:00:00,30-39,1175
Загвіздя,2021-02-08,2021-02-08 12:00:00,30-39,1174
Угринів,2021-02-04,2021-02-04 17:00:00,20-29,1171
Загвіздя,2021-02-08,2021-02-08 15:00:00,30-39,1167
Загвіздя,2021-02-02,2021-02-02 14:00:00,30-39,1165
Загвіздя,2021-02-09,2021-02-09 17:00:00,30-39,1165
Підпечери,2021-02-02,2021-02-02 11:00:00,30-39,1165
Загвіздя,2021-02-18,2021-02-18 16:00:00,30-39,1164
Загвіздя,2021-02-11,2021-02-11 12:00:00,30-39,1164
Угринів,2021-02-01,2021-02-01 13:00:00,20-29,1163
Угринів,2021-02-02,2021-02-02 11:00:00,20-29,1162
Угринів,2021-02-09,2021-02-09 14:00:00,20-29,1160
Богородчани,2021-02-09,2021-02-09 13:00:00,30-39,1156
Угринів,2021-02-03,2021-02-03 17:00:00,20-29,1155
Крихівці,2021-02-18,2021-02-18 09:00:00,30-39,1155
Угринів,2021-02-06,2021-02-06 17:00:00,30-39,1154
Загвіздя,2021-02-17,2021-02-17 12:00:00,30-39,1154
Загвіздя,2021-02-04,2021-02-04 11:00:00,30-39,1153
Загвіздя,2021-02-02,2021-02-02 10:00:00,30-39,1152
Загвіздя,2021-02-08,2021-02-08 13:00:00,30-39,1152
Підпечери,2021-02-03,2021-02-03 12:00:00,30-39,1151
Загвіздя,2021-02-04,2021-02-04 14:00:00,30-39,1151
Загвіздя,2021-02-11,2021-02-11 10:00:00,30-39,1150
Угринів,2021-02-09,2021-02-09 16:00:00,20-29,1149
